Sample,Date,Replicate,Site,Diptera,Hymenoptera,Hemiptera,Coleoptera,Lepidoptera,Orthoptera,Thysanoptera,Psocodea,Mecoptera,Blattodea,Trichoptera,Ephemeroptera,Zygentoma,Neuroptera
R1,6/5/2019,A,WLR,4,,0,0,0,0,0,0,0,0,0,0,0,0
R2,6/5/2019,B,WLR,2,,0,0,0,0,0,0,0,0,0,0,0,0
R3,6/5/2019,A,WPR,9,,0,0,1,0,0,0,0,0,0,0,0,0
R4,6/5/2019,B,WPR,5,,0,0,0,0,0,0,0,0,0,0,0,0
R5,6/5/2019,A,SNY,3,,1,0,0,0,0,0,0,0,0,0,0,0
R6,6/5/2019,B,SNY,5,,2,0,0,0,0,0,0,0,0,0,0,0
R7,6/13/2019,A,SSH,40,,1,1,0,0,1,0,0,0,0,0,0,0
R8,6/13/2019,B,SSH,33,,1,0,0,0,0,0,0,0,0,0,0,0
R9,6/13/2019,C,SSH,21,,2,0,0,0,0,0,0,0,0,0,0,0
R10,6/13/2019,A,DGM,17,,0,0,0,0,0,0,0,0,0,0,0,0
R11,6/13/2019,B,DGM,18,,0,0,0,0,0,0,0,0,0,0,0,0
R12,6/13/2019,C,DGM,12,,0,0,0,1,0,0,0,0,0,0,0,0
R13,6/13/2019,A,BFB,22,,0,1,0,0,0,0,0,1,0,0,0,0
R14,6/13/2019,B,BFB,34,,1,0,1,0,0,0,0,0,0,0,0,0
R15,6/13/2019,C,BFB,24,,2,1,0,0,0,0,0,0,0,0,0,0
R27,6/20/2019,A,DAL,7,,5,0,0,0,0,0,0,0,0,0,0,0
R28,6/20/2019,B,DAL,14,,13,0,0,0,0,0,0,0,0,0,0,0
R29,6/20/2019,C,DAL,8,,5,0,0,0,0,0,0,0,0,0,0,0
R30,6/20/2019,A,BAL,11,,0,0,0,0,0,0,0,0,0,0,0,0
R31,6/20/2019,B,BAL,12,,2,0,0,1,0,0,0,0,0,0,0,0
R32,6/20/2019,A,CHA,3,,1,0,0,3,0,0,0,0,0,0,0,0
R33,6/20/2019,B,CHA,4,,1,1,0,1,1,0,0,0,0,0,0,0
R34,7/10/2019,A,WLR,7,,7,7,0,0,0,0,0,0,0,0,0,0
R35,7/10/2019,B,WLR,14,,7,4,0,1,1,0,0,0,0,0,0,0
R36,7/10/2019,A,WPR,8,,2,10,0,2,2,0,0,0,0,0,0,0
R37,7/10/2019,B,WPR,9,,4,2,0,0,2,0,0,0,0,0,0,0
R38,7/10/2019,A,SNY,4,,3,0,0,2,0,0,0,0,0,0,0,0
R39,7/10/2019,B,SNY,7,,15,5,0,2,0,0,0,0,0,0,0,0
R40,7/18/2019,A,SSH,3,,3,1,0,0,0,0,0,0,0,0,0,0
R41,7/18/2019,B,SSH,13,,8,0,0,0,0,0,0,0,0,0,0,0
R42,7/18/2019,C,SSH,9,,7,0,0,2,0,0,0,0,0,0,0,0
R43,7/18/2019,A,DGM,8,,6,0,0,1,1,0,0,0,0,0,0,0
R44,7/18/2019,B,DGM,11,,4,0,0,0,1,0,0,0,0,0,0,0
R45,7/18/2019,C,DGM,23,,4,0,0,0,0,0,0,0,0,0,0,0
R46,7/18/2019,A,BFB,23,,12,0,0,2,1,0,0,0,0,0,0,0
R47,7/18/2019,B,BFB,27,,13,2,0,1,0,0,0,0,0,0,0,0
R48,7/18/2019,C,BFB,40,,19,3,0,0,2,0,0,0,0,0,0,0
R60,7/25/2019,A,DAL,62,,2,4,0,1,1,0,0,0,4,0,0,0
R61,7/25/2019,B,DAL,69,,3,0,0,0,2,0,0,0,1,0,0,0
R62,7/25/2019,C,DAL,76,,2,1,1,0,0,0,0,0,3,0,0,0
R63,7/25/2019,A,BAL,42,,2,0,0,0,0,0,0,0,0,1,0,0
R64,7/25/2019,B,BAL,38,,1,1,0,0,0,0,0,0,0,0,0,0
R65,7/25/2019,A,CHA,3,,1,0,0,0,0,0,0,0,0,0,0,0
R66,7/25/2019,B,CHA,16,,2,1,0,1,0,0,0,0,0,0,0,0
R67,8/8/2019,A,WLR,4,,0,0,0,0,0,0,0,0,0,0,0,0
R68,8/8/2019,B,WLR,5,,0,0,0,0,0,0,0,0,0,0,0,0
R69,8/8/2019,A,WPR,9,,1,0,0,1,0,0,0,0,0,0,0,0
R70,8/8/2019,B,WPR,6,,5,0,0,0,0,0,0,0,0,0,0,0
R71,8/8/2019,A,SNY,5,,1,0,0,0,0,0,0,0,0,0,1,0
R72,8/8/2019,B,SNY,5,,9,1,0,1,0,0,0,0,0,0,0,0
R73,8/22/2019,A,SSH,3,,2,0,0,0,0,0,0,0,0,0,0,0
R74,8/22/2019,B,SSH,4,,5,0,0,0,1,0,0,0,0,0,0,1
R75,8/22/2019,C,SSH,10,,4,0,0,0,1,0,0,0,0,0,0,0
R76,8/22/2019,A,DGM,5,,4,1,0,0,0,0,0,0,0,0,0,0
R77,8/22/2019,B,DGM,1,,0,0,0,1,0,0,0,0,0,0,0,0
R78,8/22/2019,C,DGM,1,,3,1,0,0,0,0,0,0,0,0,0,0
R79,8/22/2019,A,BFB,13,,13,0,0,0,0,0,0,0,0,0,0,0
R80,8/22/2019,B,BFB,8,,21,1,0,1,0,0,0,0,0,0,0,0
R81,8/22/2019,C,BFB,23,,16,1,2,1,1,0,0,0,0,0,0,1
R93,8/14/2019,A,DAL,56,,20,2,1,0,0,0,1,0,0,0,0,0
R94,8/14/2019,B,DAL,107,,18,1,3,0,0,0,0,0,0,0,0,0
R95,8/14/2019,C,DAL,1,,9,0,2,0,0,0,0,0,0,0,0,0
R96,8/14/2019,A,BAL,10,,0,0,0,1,1,0,0,0,0,0,0,0
R97,8/14/2019,B,BAL,9,,7,0,0,0,0,0,0,0,0,0,0,0
R98,8/14/2019,A,CHA,14,,1,0,0,0,0,0,0,0,0,0,0,0
R99,8/14/2019,B,CHA,9,,4,0,0,0,0,0,0,0,0,0,0,0
